,title,news
164,Man killed in Ctg road accident,"A man was killed in a road accident at Tigerpass Railway Colony of the district in the early hours of Friday. The deceased was identified as Emdadul Hasan Shovon, 28, son of Abul Hossain and also a junior electrical design engineer of CWASA Karnaphuli Water Supply Project (Phase-2), hailed from Chandpur district. Mohammad Abul Kashem, SI of Khulshi Thana, said the accident occurred when a covered van hit Shovon’s motorcycle from behind and ran over him in front of Railway Employees Girls’ High School under the area  as he was returning home after visiting project. He was dead on the spot and the body was sent to Chattogram Medical College Hospital for autopsy, the SI added."
165,Woman killed in Kishoreganj road accident ,"The deceased was identified as Morium Nesa, 55, wife of Freedom Fighter ABM Alauddin of village Adampur under Katiadi upazila of the district.ABM Alauddin along with his wife Morium Nesa was going to Kishoreganj Regional Passport Office by motorcycle. The motorcycle lost control on the road. At the time, a moving truck coming from back side crushed Morium Begum, leaving her dead on the spot. Officer-in-Charge (OC) of Kishoreganj Model Police Station Md. Abu Bakar Siddique confirmed the matter. He said that the body was sent to Kishoreganj 250 Bed General Hospital for autopsy."
166,Indian citizen killed in Chuadanga  road accident,"The deceased was identified as Topon Kuamar Biswas, son of Omor Biswas of Gholzugbaira village under Uttor Chabbis Pargona of India. Topon Biswas came in Bangladesh and stayed at a hotel at Darshana. He was going to a tea stall for taking tea, and while crossing the road, a Darshana Sugar Mills-bound sugarcane laden tractor crushed him under wheels.Immediately he was sent to Chuadanga Sadar Hospital where the on duty doctors declared him dead. "
167,1 killed in Road Accident in Thakurgaon,"An unidentified person 20, was killed in a bus accident near Mirdangi Bus-stand under Ranishankail Upazila in Thakurgaon on Wednesday night.A ‘paglu gari’ was going to Ranishankail from Nekmarad Bazar area while it lost control to save a stray dog and toppled over beside the road. The youth died on the spot.On information, Ranishankail Fire Service men rushed to the spot and rescued the injured.The injured were taken to Ranishankail Upazila Health Complex for treatment.In Charge, Ranishankail Fire Service, Md. Mahram Ali confirmed that they have recovered the body and trying to identify it."
168,2 killed in N’ganj road accident,"The deceased were identified as private car driver Ripon Mia, 31, son of Sharif Uddin, from Gochamara area in Kishoreganj and truck helper Rifat mia, 19, hailing from Kandail area in Narsingdi.However, the identities of the injured could not be ascertained till filing of the report.Mojjafar Hossain, officer-in-charge (OC) of Kanchpur Highway Police Station,  said,“A Narsingdi-bound private car hit a rickshaw then collided with a truck which was parked on roadside, leaving the private car driver Ripon and the truck helper Rifat dead on the spot.”“The injured were hospitalized. The private car and truck have been removed from road. Process awaits legal steps,” OC also said."
169,Man killed in city road accident,"At first, locals rushed him to Kurmitola General Hospital but later he was shifted to Dhaka Medical College Hospital (DMCH) where he succumbed to his injuries."
170,Elderly man killed in road accident,"This incident took place beside Velajan Bazar on Thakurgaon-Baliadangi Highway of Thakurgaon  sadar Upazila at Thursday night.Deceased Nurul Haq is the son of Shirajul Islam of Aladibazar village of Thakurgaon sadar upazila.SI Babul Hossain of Thakurgaon Sadar Police station informed that a stone loaded truck was coming to Thakurgaon from Baliadangi. Meanwhile, Nurul Haq after finishing marketing was crossing the road at Velajan  Bazar , when the truck ran him over and he died on  the spot. The truck involved was captured."
171,2 killed in Noakhali road accident,"The deceased were identified as Ripon, 21, and Javed, 18, both hailed from Aiyubpur village of the upazila.Officer-in-Charge (OC) of Sudharampur Model Police Station Nobir Hossain said the accident occurred at 10pm last night when a truck collided head-on with a CNG-run auto-rickshaw in Wapda pole area of Ashwadia union under Noakhali Sadar upazila, leaving two people dead on the spot.One critically injured passenger was rushed to Noakhali General Hospital. Later, he was referred to Chittagong for better treatment.The OC said the truck driver was arrested and both the truck and CNG-run auto-rickshaw were seized from the spot."
172,"ASI, another killed in Mymensingh road accident","Police identified the deceased as Aminul, an ASI of Fulbaria Thana and his brother-in-law Jahidul.The accident occurred in the area while a private car carrying them plunged into a roadside ditch as the police official, who was driving the vehicle, lost control over its steering, said Azizur Rahman, Officer-in-Charge (OC) of Fulbaria Thana.The road mishap left the pair dead on the spot, he said.Being informed, Trishal Thana police personnel and Fire Service engines rushed the spot and rescued the bodies."
173,"Mother, daughter killed in Joypurhat road accident","The deceased were identified as Rifa, 24, wife of Nur Alam and their daughter Anika, 5, hailed from Deopara area of the upazila.Officer-in-Charge (OC) of Joypurhat Sadar Police Station Shahriar Khan said that the speedy truck hit them while Rifa along with daughter Anika were going to school at 9 am, leaving them dead on the spot."
174,"Verdicts on Nusrat, road accident cases to be milestones","He also said that speedy trial over murder of Sonagazi madrasa student Nusrat Jahan Rafi will also be marked as a milestone in our socioeconomic perspective and it will start a process of resisting violence against women. “We would be able to come out of culture of impunity through such trials and it will be helpful in establishing parity among men and women. A message was given through this judgement that we would be ready to award maximum punishment if anyone commits such heinous crimes,” he said. Anisul Huq said these while addressing a grand finale of a debate competition, organised by jointly organised by Debate for Democracy and ATN Bangla at Bangladesh Film Development Corporation (BFDC) on Sunday.Chairman of Debate for Democracy Hasan Ahmed Chowdhury Kiron presided over the function. Dhaka College and Eden Mohila College were declared joint champion in the competition while University of South Asia became runner up.Professor Abu Mohammad Rois, journalists Prosoon Ashish, Abdullah Tuhin, Jhumur Bari and NGO activist Sarwat Binte Islam acted as judges in the competition."
175,"Three killed, 19 injured in Kurigram road accident","Three people were killed and 19 others were injured in a road accident at Chaurasta turning area of the town in Kurigram district at about 1.30 pm on Monday.The deceased were identified as Hakim 30 of Khalilgong area of Belgacha union and Jobaer 25 of Tograihat area of Kanthalbari union of Sadar upazila of the district.The identity of another deceased could not be known immediately.Police and local sources said the accident took place when a truck from Nageswari to Kurigram lost its control and hit a battery run auto rickshaw. Three people were killed on the spot and 19 others were injured.Locals said the truck fell into a road side ditch after smashing the auto rickshaw. Two passengers of the auto rickshaw and a passerby were killed on the  spot. Among the injured the driver and helper of the truck and 16 others were sent to Kurigram Sadar Hospital.Being informed, police and Red Crescent members rushed to the spot joined the rescue operation along with the locals. They sent the injured to the hospital.The condition being deteriorated, the doctors referred six injured to Rangpur Medical College Hospital for further treatment.Officer-in-charge of Kurigram Sadar Thana Mahfujar Rahman said three people were killed in the spot in the accident. The injured were sent to hospital immediately."
176,"Drivers, helpers, vehicle owners main victims of road accidents","He said these at a function organised by DIG, Khulna Office on Monday in observance of Traffic Consciousness Week and realisation of fine through using electronics system at Kantakhali Shahid Smriti Adarsha Degree College playground in Bagerhat. Dr. Khandker Mohid Uddin introduced the system as the chief guest. He said that Khulna range of police have launched the e-traffic prosecution and fine payment system software coincided with traffic awareness week in all ten districts under its jurisdiction in a bid to bring transparency to the process of collecting fines from traffic rule violators.DIG of Khukna range further informed, the main victims of a road accident are the driver, helper and the owner of a vehicle. He added, due to introduction of realisation of fine by using electronics system, there would be no exchange of cash money with police. As a result, the corruption will decrease and there will be no wastage of time and money. He said that the Road Transport Act-2018 would be useful to bring back order in the road traffic system.Presided over by AKM Nahidul Islam, Additional DIG, Khulna Range, the function was addressed, among other, by Mamun-ur-Rashid, Deputy Commissioner of Bagerhat, Pankaj Chandra Roy, Superintendent of Police, Kazi Nurul Islam Baby, President of Khulna Motor Shramik Union, Nasar Yousuf, Head of Corporate Business of Grameenphone, SM Habib, President of Khulna Press club, Ahad Uddin Haider, President of Bagrhat Press club,  ATM Tahmiduzzaman of UCB Bank and Abdur Rahman Baux Dudu of Bangladesh Sarak Paribahan Shramik Federation.Earlier, police of ten districts in Khulna division signed a Memorandum of Understanding (MoU) with United Commercial Bank (UCB) and Grameen Phone to enable traffic rule violator clients in paying fined money easily at different booths in Khulna division."
